Batter,Inns,Runs,Balls,Outs,Fifties,Centuries,Expected Runs,Expected Outs,Expected Fifties,Expected Centuries,Expected Runs 2,Expected Outs 2,Expected Fifties 2,Expected Centuries 2,Ave,SR,InnsPerCentury,expected_ave,expected_sr,expinnsPerCentury,Ave Ratio,SR Ratio,Cen Ratio,expected_ave_present,expected_sr_present,Adjusted Ave,Adjusted Sr,Present Centuries
A Ashok,1,10,12,1,0,0,9.465189873417721,0.6645569620253164,0.007017543859649123,0.0,9.493553719008265,0.6598347107438016,0.012875536480686695,0.0,10.0,83.33333333333334,inf,14.242857142857142,78.87658227848101,inf,0.7021063189568707,1.0565028418589102,,14.387775551102205,79.1129476584022,10.101748130162031,83.58305402893714,
A Athanaze,13,306,368,13,2,0,317.3690223112743,9.220081593131303,2.432319540074704,0.7835167184195131,311.44803832699,8.741518767507685,2.450412045734865,0.9385802051511571,23.53846153846154,83.15217391304348,inf,34.42149823790119,86.2415821498028,16.591860383302627,0.683830243988147,0.9641772778310935,0.0,35.62859574066758,84.63261911059512,24.363911318295763,81.60084830976938,0.0
A Bagai,60,1964,2995,52,16,2,2258.9171526555756,68.03378619442046,10.272869763947373,1.9376102719878703,2473.6781033851207,70.08402798157809,10.90251050405738,2.8609099893311583,37.76923076923077,65.57595993322204,30.0,33.20287285203057,75.42294332739819,30.96597951993909,1.1375290005039709,0.8694431301701915,1.0321993173313029,35.29588944338842,82.59359276744978,40.15009784043628,71.81043182773362,2.9530293379339265
A Balbirnie,103,2973,3994,95,15,8,3353.957946803707,92.61772342665608,19.353319851169267,6.821478164515355,3316.8972408649443,90.18894049373773,20.018589558003786,6.693297616143561,31.294736842105262,74.43665498247371,12.875,36.21291716870696,83.97491103664764,15.099366664514982,0.8641871268285535,0.8864154074541226,1.1727663428749502,36.77720597122718,83.04700152390947,31.782387961056738,73.61414169365936,7.849674167058306
A Bhandari,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010121457489878543,0.0,,,inf,,,inf,,,,,,,,
A Bohara,2,13,14,0,0,0,10.030927835051546,0.865979381443299,0.0,0.0,7.8254716981132075,1.0648584905660379,0.0020242914979757085,0.0,inf,92.85714285714286,inf,11.583333333333332,71.64948453608247,inf,inf,1.2959917780061667,,7.348837209302324,55.89622641509434,inf,72.44104985553338,
A Codrington,8,47,92,8,0,0,58.15398508774313,5.174023401637118,0.05245503159941663,0.0,65.11529362249802,5.843784858614369,0.0749266147789866,0.001878522229179712,5.875,51.08695652173913,inf,11.239606119551482,63.21085335624254,inf,0.5227051497632412,0.80819912735277,,11.142657575169121,70.77749306793262,5.8243244965892895,57.202308133719875,
A Dananjaya,32,323,451,26,1,0,361.20099064379497,21.737008639520234,0.9064215799017327,0.0,368.55990604125094,22.00241219779678,0.7606818736859043,0.02817783343769568,12.423076923076923,71.61862527716187,inf,16.616867418780544,80.08891145095231,inf,0.7476184656222413,0.8942389649161635,,16.750886345005245,81.72060000914655,12.523271947065375,73.07774476450703,
A Dutt,34,207,347,26,0,0,253.8625290658745,20.37937411472123,0.3843357769589692,0.019750479325272016,256.72970218970335,20.547749164398482,0.41015319645123705,0.015405858927992806,7.961538461538462,59.654178674351584,inf,12.456836389420543,73.15923027835,1721.4772077199566,0.6391300497693067,0.8154019451460117,0.0,12.494298043822694,73.985504953805,7.985481330580949,60.32792465194249,0.0
A Flintoff,122,3394,3821,106,18,3,2910.7715663407707,100.10204159389988,17.35464608701559,1.8911315459908877,3253.2681790386673,106.80130397861798,18.208168589963233,3.07020494240635,32.0188679245283,88.824914943732,40.666666666666664,29.078043963872062,76.17826658834784,64.51164132851277,1.1011355497058213,1.1660138635567034,1.5863518359470352,30.460940623814704,85.14180002718312,33.541624598360585,99.27651919986803,4.870425247119974
A Flower,207,6709,9017,191,54,4,6379.981590666617,193.68378098760772,37.89912592175913,5.916789939665694,7518.156691789167,214.27647990361248,38.8293994971728,10.192959091005214,35.12565445026178,74.40390373738494,51.75,32.94019539547723,70.7550359395211,34.98518658103582,1.0663462687013876,1.0515704323997908,0.676042252773639,35.08624322730634,83.37758336241728,37.414084548187446,87.67740138886674,6.890871026312709
A Jadeja,179,5359,7678,143,30,6,5347.15983156446,176.31806673372074,28.090466101435,3.7300318715867213,6509.074054558596,199.1147530348319,28.98297877668461,6.446247202442895,37.47552447552447,69.7968220890857,29.833333333333332,30.32678346933019,69.64261307064939,47.98886609080234,1.2357236801398304,1.002214291101913,1.6085653438257768,32.69006417329578,84.77564540972384,40.395886404232286,84.96336336701351,10.369209847583507
A Johnson,20,442,445,20,3,0,374.1066186689168,11.322198139100708,3.57395172455606,1.056882582574851,377.69940601714967,10.794731141975317,3.6634242771440793,1.3845462745245782,22.1,99.32584269662922,inf,33.04187173486712,84.0689030716667,18.923578011168097,0.6688483079086341,1.181481369061713,0.0,34.98923697584883,84.87627101508981,23.402491946310708,100.2797328797613,0.0
A Kumble,136,938,1536,89,0,0,1072.0414755014287,77.74641681676536,2.053375417636792,0.0873015873015873,1203.1469786539008,81.87700422388116,2.7372870534441316,0.24315674483532373,10.539325842696629,61.067708333333336,inf,13.788950274429265,69.79436689462428,1557.818181818182,0.7643312676412461,0.8749661477054951,0.0,14.694565220828848,78.32988142278,11.23151566267308,68.53599459871805,0.0
A Kuruvilla,11,26,43,7,0,0,28.041551140351086,2.4713857955738447,0.0786808735470236,0.0,32.86364501151167,2.4735220847177133,0.11355322422104668,0.001878522229179712,3.7142857142857144,60.46511627906976,inf,11.346488755649727,65.21290962872345,inf,0.3273511122492648,0.9271954989175565,,13.28617408130487,76.42708142212017,4.349243863052503,70.86284588999543,
A Maregwede,11,124,218,10,0,0,165.0389079234628,5.8954298955055995,1.5067689394757147,0.11104767059142455,186.11633475464896,6.481118865281791,1.4532958151782256,0.22567218420580726,12.4,56.88073394495413,inf,27.994380536910594,75.70592106580862,99.05655779554421,0.44294603996150583,0.7513379818139932,0.0,28.7166982466008,85.37446548378392,12.719947769101342,64.14507859503463,0.0
A Martin,6,10,29,1,0,0,14.601045296167246,2.526132404181185,0.0,0.0,16.20990566037736,2.2057783018867925,0.006072874493927126,0.0,10.0,34.48275862068966,inf,5.7799999999999985,50.34843205574913,inf,1.7301038062283742,0.6848824722586804,,7.348837209302326,55.89622641509434,12.714251227166658,38.28234573710077,
A McGrath,12,166,353,10,1,0,253.97318016850232,8.67122402180658,1.5692164383011347,0.16075248127564878,299.0457520593649,9.58921409755578,1.8779626237677087,0.3264321695987129,16.6,47.02549575070821,inf,29.289196026974405,71.9470765349865,74.64892550817375,0.5667618866940539,0.6536123219383432,0.0,31.185637218757,84.71551049840365,17.674830587859027,55.371101521053696,0.0
A Mishra,11,43,82,8,0,0,64.89002975621833,5.15604752083275,0.14020038066958476,0.0,63.301637450134805,4.64242153626828,0.16112153926057354,0.003757044458359424,5.375,52.4390243902439,inf,12.585227248979654,79.13418262953455,inf,0.4270880369232727,0.6626595820890244,,13.63547815630258,77.19711884162781,5.823549598285434,51.15541051006984,
A Mithun,3,51,55,3,0,0,38.644681115463726,4.009717593640939,0.01879784123161607,0.0,39.92456706418945,3.4461599172211805,0.017858925185005634,0.0,17.0,92.72727272727272,inf,9.637756328962121,70.26305657357041,inf,1.7638960168471816,1.3197158969334144,,11.585233425958574,72.59012193488992,20.435147094293157,95.79833787780917,
A Nao,20,126,134,10,0,0,85.59121699837983,10.303022603488584,0.11644679907401398,0.004166666666666667,90.01106150376246,8.983560540519246,0.13165457969369854,0.003757044458359424,12.6,94.02985074626866,inf,8.30738903449545,63.874042536104355,4800.0,1.5167220347668793,1.4721136632790848,0.0,10.01953079714648,67.17243395803169,15.196843138057421,98.88545782533042,0.0
A Nehra,46,141,246,25,0,0,149.6424194068002,16.772989893142665,0.12526865359377676,0.0,157.05079604201126,17.19099296558951,0.10582165429928364,0.0,5.64,57.3170731707317,inf,8.921630571540428,60.830251791382196,inf,0.632171434893452,0.9422461930175965,,9.135644250240418,63.84178700894767,5.775293334350599,60.15468076462119,
A Neill,5,22,39,1,0,0,27.013204050792176,2.8402932106152092,0.0,0.0,26.845959505232923,2.597150395706716,0.010978923157625727,0.0,22.0,56.41025641025641,inf,9.510709651325435,69.26462577126199,inf,2.3131817505262635,0.8144165334343165,,10.336698078636996,68.83579360316135,23.91066135620299,56.06100840248676,
A Nel,22,127,166,10,0,0,110.31612787527371,9.22143300499901,0.046657734739339936,0.0,120.34576445029455,10.31043077571741,0.1454275098106416,0.001878522229179712,12.7,76.50602409638554,inf,11.96301353764328,66.4554987200444,inf,1.061605419072518,1.151236926513497,,11.672234368104835,72.49744846403287,12.39130725786458,83.46173974980384,
A Nortje,7,40,59,6,0,0,45.077187353116756,3.5253184419069012,0.0584941380147563,0.0,44.6528906247522,3.4821920674527336,0.05897722897922519,0.0,6.666666666666667,67.79661016949152,inf,12.786699441748526,76.40201246290975,inf,0.5213750973843981,0.8873668112133063,,12.823213010595461,75.6828654656817,6.68570393218009,67.15846299176764,
A Patel,1,25,29,1,0,0,18.048398091342875,1.7791411042944785,0.0,0.0,20.27508635196174,1.9083340713842882,0.0024916943521594683,0.0,25.0,86.20689655172413,inf,10.144444444444444,62.23585548738922,inf,2.4644030668127055,1.3851644823809344,,10.624495289367431,69.91409086883358,26.18303877445424,96.84251548946148,
