Bowler,Team,BowlType,Start Date,Ground,Host Country,year,isWorldCup,isICC,Matches,Inn,Runs,Balls,Wickets,Matches_grouped,Inn_grouped,Runs_grouped,Balls_grouped,Wickets_grouped,run_diff,ball_diff,wickets_diff,inn_diff,matches_diff,AveforWicket,RunRate,AveWicket,AveRR,Home,HomeorAway,Period
A Bagai,CAN,Spin,11 Feb 2003,Durban,South Africa,2003,WorldCup,ICC,1,0,0,0,0,13,4,94,210,6,94,210,6,4,12,15.666666666666666,2.685714285714286,<=30,<6 rpo,SA,Away,Upto 2014
A Bagai,CAN,Spin,13 Mar 2011,Wankhede,India,2011,WorldCup,ICC,1,0,0,0,0,11,5,195,204,4,195,204,4,5,10,48.75,5.735294117647059,>30,<6 rpo,IND,Away,Upto 2014
A Bagai,CAN,Spin,14 Mar 2007,Gros Islet,West Indies,2007,WorldCup,ICC,1,0,0,0,0,12,6,166,300,6,166,300,6,6,11,27.666666666666668,3.3200000000000003,<=30,<6 rpo,WI,Away,Upto 2014
A Bagai,CAN,Spin,15 Feb 2003,Cape Town,South Africa,2003,WorldCup,ICC,1,0,0,0,0,12,4,124,201,7,124,201,7,4,11,17.714285714285715,3.701492537313433,<=30,<6 rpo,SA,Away,Upto 2014
A Bagai,CAN,Spin,16 Mar 2011,Bengaluru,India,2011,WorldCup,ICC,1,0,0,0,0,12,5,156,150,3,156,150,3,5,11,52.0,6.24,>30,>=6 rpo,IND,Away,Upto 2014
A Bagai,CAN,Spin,18 Mar 2007,Gros Islet,West Indies,2007,WorldCup,ICC,1,0,0,0,0,11,5,160,229,5,160,229,5,5,10,32.0,4.192139737991266,>30,<6 rpo,WI,Away,Upto 2014
A Bagai,CAN,Spin,19 Feb 2003,Paarl,South Africa,2003,WorldCup,ICC,1,0,0,0,0,14,2,18,28,1,18,28,1,2,13,18.0,3.8571428571428577,<=30,<6 rpo,SA,Away,Upto 2014
A Bagai,CAN,Spin,20 Feb 2011,Hambantota,Sri Lanka,2011,WorldCup,ICC,1,0,0,0,0,11,7,225,287,6,225,287,6,7,10,37.5,4.70383275261324,>30,<6 rpo,SL,Away,Upto 2014
A Bagai,CAN,Spin,22 Mar 2007,Gros Islet,West Indies,2007,WorldCup,ICC,1,0,0,0,0,10,6,310,299,11,310,299,11,6,9,28.181818181818183,6.2207357859531776,<=30,>=6 rpo,WI,Away,Upto 2014
A Bagai,CAN,Spin,23 Feb 2003,Centurion,South Africa,2003,WorldCup,ICC,1,0,0,0,0,13,4,122,138,1,122,138,1,4,12,122.0,5.304347826086957,>30,<6 rpo,SA,Away,Upto 2014
A Bagai,CAN,Spin,27 Feb 2003,East London,South Africa,2003,WorldCup,ICC,1,0,0,0,0,10,3,98,126,1,98,126,1,3,9,98.0,4.666666666666667,>30,<6 rpo,SA,Away,Upto 2014
A Bagai,CAN,Spin,28 Feb 2011,Nagpur,India,2011,WorldCup,ICC,1,0,0,0,0,14,8,265,355,14,265,355,14,8,13,18.928571428571427,4.47887323943662,<=30,<6 rpo,IND,Away,Upto 2014
A Bagai,CAN,Spin,3 Mar 2003,Benoni,South Africa,2003,WorldCup,ICC,1,0,0,0,0,9,3,156,162,4,156,162,4,3,8,39.0,5.777777777777778,>30,<6 rpo,SA,Away,Upto 2014
A Bagai,CAN,Spin,3 Mar 2011,Colombo (RPS),Sri Lanka,2011,WorldCup,ICC,1,0,0,0,0,13,5,148,234,10,148,234,10,5,12,14.8,3.7948717948717947,<=30,<6 rpo,SL,Away,Upto 2014
A Bagai,CAN,Spin,7 Mar 2011,Delhi,India,2011,WorldCup,ICC,1,0,0,0,0,13,8,187,258,3,187,258,3,8,12,62.333333333333336,4.348837209302325,>30,<6 rpo,IND,Away,Upto 2014
A Balbirnie,IRE,Spin,10 Mar 2015,Hamilton,New Zealand,2015,WorldCup,ICC,1,0,0,0,0,11,6,224,240,4,224,240,4,6,10,56.0,5.6,>30,<6 rpo,NZ,Away,After 1965
A Balbirnie,IRE,Spin,15 Mar 2015,Adelaide,Australia,2015,WorldCup,ICC,1,0,0,0,0,13,4,106,121,1,106,121,1,4,12,106.0,5.256198347107437,>30,<6 rpo,AUS,Away,After 1965
A Balbirnie,IRE,Spin,16 Feb 2015,Nelson,New Zealand,2015,WorldCup,ICC,1,0,0,0,0,10,5,175,228,5,175,228,5,5,9,35.0,4.605263157894737,>30,<6 rpo,NZ,Away,After 1965
