Bowler,Team,BowlType,Start Date,Ground,Host Country,year,Inn,Runs,Balls,Wickets,Matches,Runs_grouped,Balls_grouped,Wickets_grouped,run_diff,ball_diff,wickets_diff,AveforWicket,AveWicket,Home,HomeorAway,Period
A Athanaze,WI,Spin,2023-07-12,Roseau,West Indies,2023,1,53,96,1,1,411,1014,20,358,918,19,20.55,<=30,WI,Home,After 1965
A Athanaze,WI,Spin,2023-07-20,Port of Spain,West Indies,2023,1,12,24,0,1,279,750,9,267,726,9,31.0,>30,WI,Home,After 1965
A Athanaze,WI,Spin,2024-08-07,Port of Spain,West Indies,2024,1,5,6,0,1,492,926,15,487,920,15,32.8,>30,WI,Home,After 1965
A Athanaze,WI,Spin,2024-11-22,North Sound,West Indies,2024,1,9,30,0,1,296,631,6,287,601,6,49.333333333333336,>30,WI,Home,After 1965
A Balbirnie,IRE,Spin,2019-03-15,Dehradun,India,2019,1,8,6,0,1,656,1295,22,648,1289,22,29.818181818181817,<=30,IND,Away,After 1965
A Brown,ENG,Pace,1961-10-21,Lahore,Pakistan,1961,2,71,179,3,1,400,1080,13,329,901,10,30.76923076923077,>30,PAK,Away,Upto 2014
A Brown,ENG,Pace,1961-11-11,Brabourne,India,1961,2,79,144,0,1,444,942,9,365,798,9,49.333333333333336,>30,IND,Away,Upto 2014
A Coningham,AUS,Pace,1894-12-29,Melbourne,Australia,1894,2,76,186,2,1,653,1784,28,577,1598,26,23.321428571428573,<=30,AUS,Home,After 1965
A Cotter,AUS,Pace,1904-02-26,Sydney,Australia,1904,2,85,195,3,1,327,845,17,242,650,14,19.235294117647058,<=30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1904-03-05,Melbourne,Australia,1904,2,65,122,8,1,250,529,16,185,407,8,15.625,<=30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1905-05-29,Nottingham,England,1905,2,123,240,4,1,577,1196,21,454,956,17,27.476190476190474,<=30,ENG,Away,Upto 2014
A Cotter,AUS,Pace,1905-07-24,Manchester,England,1905,1,83,156,0,1,572,1050,20,489,894,20,28.6,<=30,ENG,Away,Upto 2014
A Cotter,AUS,Pace,1905-08-14,The Oval,England,1905,2,221,366,9,1,775,1333,24,554,967,15,32.291666666666664,>30,ENG,Away,Upto 2014
A Cotter,AUS,Pace,1907-12-13,Sydney,Australia,1907,2,202,287,8,1,509,946,20,307,659,12,25.45,<=30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1908-01-01,Melbourne,Australia,1908,2,224,366,6,1,477,963,14,253,597,8,34.07142857142857,>30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1909-06-14,Lord's,England,1909,2,115,246,4,1,465,1001,12,350,755,8,38.75,>30,ENG,Away,Upto 2014
A Cotter,AUS,Pace,1909-07-01,Leeds,England,1909,2,83,198,6,1,393,1142,20,310,944,14,19.65,<=30,ENG,Away,Upto 2014
A Cotter,AUS,Pace,1909-07-26,Manchester,England,1909,2,51,78,1,1,310,803,19,259,725,18,16.31578947368421,<=30,ENG,Away,Upto 2014
A Cotter,AUS,Pace,1909-08-09,The Oval,England,1909,2,116,214,6,1,457,871,15,341,657,9,30.466666666666665,>30,ENG,Away,Upto 2014
A Cotter,AUS,Pace,1910-12-09,Sydney,Australia,1910,2,142,222,8,1,517,899,22,375,677,14,23.5,<=30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1910-12-31,Melbourne,Australia,1910,2,205,348,6,1,540,1002,17,335,654,11,31.764705882352942,>30,AUS,Home,Upto 2014
A Cotter,AUS,Pace,1911-01-07,Adelaide,Australia,1911,2,164,366,2,1,771,1501,18,607,1135,16,42.833333333333336,>30,AUS,Home,Upto 2014
